Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:23:28,,
Header Version:,1,,
System Temp (C):,37.56,,
Detector Temp (C):,33.97,,
Humidity (%):,21.46,,
Lamp PD:,3706,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.663,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1359.885549,0.593778,710971.000000,181165.000000
1363.244586,0.599042,708733.000000,178419.000000
1366.599408,0.604721,706319.000000,175501.000000
1371.065950,0.615117,701665.000000,170221.000000
1374.410939,0.625412,697460.000000,165237.000000
1377.751713,0.637914,691985.000000,159288.000000
1381.088274,0.651813,686523.000000,153053.000000
1384.420619,0.667852,680381.000000,146184.000000
1387.748751,0.685629,675468.000000,139308.000000
1391.072668,0.706093,671911.000000,132196.000000
1394.392370,0.723939,668723.000000,126272.000000
1397.707858,0.744901,666533.000000,119928.000000
1402.121953,0.772067,665113.000000,112416.000000
1405.427607,0.791114,665198.000000,107606.000000
1408.729047,0.810203,664935.000000,102938.000000
1412.026273,0.827546,664455.000000,98837.000000
1415.319284,0.843229,664556.000000,95346.000000
1418.608081,0.856110,664917.000000,92610.000000
1421.892663,0.867193,665017.000000,90290.000000
1425.173031,0.876050,664617.000000,88414.000000
1428.449184,0.885679,665359.000000,86572.000000
1431.721123,0.892588,666424.000000,85342.000000
1436.077153,0.897180,667155.000000,84537.000000
1439.339258,0.901558,668127.000000,83811.000000
1442.597149,0.904674,668698.000000,83283.000000
1445.850825,0.906896,669264.000000,82928.000000
1449.100287,0.908213,669273.000000,82678.000000
1452.345535,0.908258,669026.000000,82639.000000
1455.586568,0.908703,668707.000000,82515.000000
1458.823387,0.908272,668068.000000,82518.000000
1462.055991,0.907403,666684.000000,82512.000000
1466.359575,0.905623,665382.000000,82689.000000
1469.582345,0.901914,664120.000000,83240.000000
1472.800901,0.898796,662276.000000,83607.000000
1476.015243,0.894093,660385.000000,84276.000000
1479.225371,0.890168,658310.000000,84774.000000
1482.431284,0.885368,656313.000000,85456.000000
1485.632982,0.879647,654173.000000,86307.000000
1488.830466,0.874843,651677.000000,86934.000000
1492.023736,0.869726,649126.000000,87620.000000
1496.274873,0.863794,646247.000000,88431.000000
1499.458309,0.858971,643294.000000,89010.000000
1502.637531,0.854126,640417.000000,89606.000000
1505.812538,0.849862,637303.000000,90050.000000
1508.983330,0.845309,634074.000000,90538.000000
1512.149909,0.841037,630551.000000,90925.000000
1515.312273,0.837157,626579.000000,91163.000000
1518.470422,0.833355,623236.000000,91474.000000
1521.624357,0.830607,619556.000000,91511.000000
1525.823048,0.826636,614520.000000,91601.000000
1528.967149,0.822998,610731.000000,91802.000000
1532.107036,0.820275,606260.000000,91703.000000
1535.242709,0.817536,601771.000000,91600.000000
1538.374167,0.815531,597293.000000,91339.000000
1541.501410,0.812346,592533.000000,91278.000000
1544.624439,0.810466,587614.000000,90913.000000
1547.743254,0.808405,582008.000000,90474.000000
1550.857855,0.806115,576631.000000,90112.000000
1555.004099,0.803354,569180.000000,89515.000000
1558.108866,0.802108,563682.000000,88905.000000
1561.209418,0.799688,557265.000000,88384.000000
1564.305756,0.796589,551187.000000,88046.000000
1567.397879,0.794277,545545.000000,87610.000000
1570.485788,0.791972,539133.000000,87041.000000
1573.569483,0.790637,532551.000000,86243.000000
1576.648963,0.788177,525907.000000,85651.000000
1579.724229,0.785155,518938.000000,85106.000000
1583.818027,0.784302,509333.000000,83695.000000
1586.883459,0.781797,502458.000000,83043.000000
1589.944677,0.778271,494992.000000,82476.000000
1593.001680,0.773816,487232.000000,82020.000000
1596.054469,0.771425,480020.000000,81252.000000
1599.103043,0.768080,472168.000000,80541.000000
1602.147403,0.766697,464280.000000,79448.000000
1605.187548,0.762521,456706.000000,78907.000000
1608.223479,0.759469,448530.000000,78041.000000
1612.264832,0.755375,437205.000000,76791.000000
1615.290929,0.750844,429490.000000,76227.000000
1618.312812,0.748457,421504.000000,75222.000000
1621.330481,0.745845,413173.000000,74180.000000
1624.343935,0.741546,404553.000000,73355.000000
1627.353174,0.739219,396423.000000,72267.000000
1630.358200,0.737738,388513.000000,71067.000000
1633.359010,0.734732,380160.000000,70022.000000
1636.355607,0.732441,371598.000000,68807.000000
1640.344513,0.728691,360463.000000,67324.000000
1643.331275,0.726814,352069.000000,66041.000000
1646.313824,0.724263,343006.000000,64720.000000
1649.292158,0.720916,333872.000000,63484.000000
1652.266277,0.719452,324504.000000,61911.000000
1655.236182,0.715226,314053.000000,60503.000000
1658.201873,0.712326,302316.000000,58632.000000
1661.163349,0.708634,289087.000000,56545.000000
1664.120611,0.704334,274074.000000,54142.000000
1668.057070,0.696396,249318.000000,50160.000000
1671.004498,0.689988,227555.000000,46462.000000
1673.947712,0.681564,203186.000000,42299.000000
1676.886711,0.672559,178338.000000,37904.000000
1679.821496,0.667185,153876.000000,33112.000000
1682.752066,0.665223,131194.000000,28359.000000
1685.678422,0.666694,111238.000000,23964.000000
1688.600564,0.667363,94301.000000,20284.000000
1691.518491,0.674486,80350.000000,17002.000000
1695.402504,0.681071,65120.000000,13572.000000
1698.310598,0.679875,55907.000000,11684.000000
1701.214477,0.687238,48643.000000,9995.000000
