Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:44:59,,
Header Version:,1,,
System Temp (C):,37.8,,
Detector Temp (C):,33.71,,
Humidity (%):,17.17,,
Lamp PD:,3642,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.674,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1359.885549,0.721454,710971.000000,135020.000000
1363.244586,0.730277,708733.000000,131888.000000
1366.599408,0.739723,706319.000000,128611.000000
1371.065950,0.757813,701665.000000,122551.000000
1374.410939,0.774529,697460.000000,117217.000000
1377.751713,0.795337,691985.000000,110856.000000
1381.088274,0.819664,686523.000000,103990.000000
1384.420619,0.847514,680381.000000,96658.000000
1387.748751,0.879566,675468.000000,89133.000000
1391.072668,0.913249,671911.000000,82047.000000
1394.392370,0.945508,668723.000000,75812.000000
1397.707858,0.978897,666533.000000,69972.000000
1402.121953,1.022460,665113.000000,63159.000000
1405.427607,1.051599,665198.000000,59068.000000
1408.729047,1.078823,664935.000000,55457.000000
1412.026273,1.101538,664455.000000,52593.000000
1415.319284,1.121871,664556.000000,50195.000000
1418.608081,1.137375,664917.000000,48461.000000
1421.892663,1.152457,665017.000000,46814.000000
1425.173031,1.162627,664617.000000,45703.000000
1428.449184,1.173108,665359.000000,44663.000000
1431.721123,1.180407,666424.000000,43989.000000
1436.077153,1.184053,667155.000000,43669.000000
1439.339258,1.188311,668127.000000,43306.000000
1442.597149,1.191489,668698.000000,43027.000000
1445.850825,1.192200,669264.000000,42993.000000
1449.100287,1.194403,669273.000000,42776.000000
1452.345535,1.193806,669026.000000,42819.000000
1455.586568,1.194178,668707.000000,42762.000000
1458.823387,1.194718,668068.000000,42668.000000
1462.055991,1.190159,666684.000000,43029.000000
1466.359575,1.187276,665382.000000,43231.000000
1469.582345,1.181616,664120.000000,43715.000000
1472.800901,1.175352,662276.000000,44227.000000
1476.015243,1.169140,660385.000000,44736.000000
1479.225371,1.162687,658310.000000,45263.000000
1482.431284,1.157233,656313.000000,45696.000000
1485.632982,1.148156,654173.000000,46509.000000
1488.830466,1.139686,651677.000000,47244.000000
1492.023736,1.132320,649126.000000,47864.000000
1496.274873,1.121836,646247.000000,48816.000000
1499.458309,1.115563,643294.000000,49300.000000
1502.637531,1.107380,640417.000000,50013.000000
1505.812538,1.099929,637303.000000,50631.000000
1508.983330,1.094195,634074.000000,51044.000000
1512.149909,1.086709,630551.000000,51643.000000
1515.312273,1.079156,626579.000000,52218.000000
1518.470422,1.072298,623236.000000,52766.000000
1521.624357,1.068157,619556.000000,52957.000000
1525.823048,1.059987,614520.000000,53524.000000
1528.967149,1.053673,610731.000000,53973.000000
1532.107036,1.049558,606260.000000,54088.000000
1535.242709,1.044368,601771.000000,54333.000000
1538.374167,1.039472,597293.000000,54540.000000
1541.501410,1.033655,592533.000000,54835.000000
1544.624439,1.029828,587614.000000,54861.000000
1547.743254,1.025285,582008.000000,54909.000000
1550.857855,1.019731,576631.000000,55102.000000
1555.004099,1.016136,569180.000000,54842.000000
1558.108866,1.011414,563682.000000,54906.000000
1561.209418,1.006418,557265.000000,54909.000000
1564.305756,1.003693,551187.000000,54652.000000
1567.397879,0.999447,545545.000000,54624.000000
1570.485788,0.995204,539133.000000,54512.000000
1573.569483,0.991681,532551.000000,54285.000000
1576.648963,0.988660,525907.000000,53982.000000
1579.724229,0.984438,518938.000000,53787.000000
1583.818027,0.981392,509333.000000,53163.000000
1586.883459,0.977981,502458.000000,52859.000000
1589.944677,0.973687,494992.000000,52591.000000
1593.001680,0.967295,487232.000000,52534.000000
1596.054469,0.964088,480020.000000,52140.000000
1599.103043,0.959675,472168.000000,51811.000000
1602.147403,0.958062,464280.000000,51135.000000
1605.187548,0.951854,456706.000000,51025.000000
1608.223479,0.948354,448530.000000,50517.000000
1612.264832,0.943151,437205.000000,49835.000000
1615.290929,0.939209,429490.000000,49402.000000
1618.312812,0.934517,421504.000000,49010.000000
1621.330481,0.931592,413173.000000,48366.000000
1624.343935,0.929122,404553.000000,47627.000000
1627.353174,0.924217,396423.000000,47200.000000
1630.358200,0.921962,388513.000000,46499.000000
1633.359010,0.918097,380160.000000,45906.000000
1636.355607,0.915079,371598.000000,45185.000000
1640.344513,0.910212,360463.000000,44325.000000
1643.331275,0.908029,352069.000000,43511.000000
1646.313824,0.906321,343006.000000,42558.000000
1649.292158,0.902341,333872.000000,41806.000000
1652.266277,0.900815,324504.000000,40776.000000
1655.236182,0.898683,314053.000000,39657.000000
1658.201873,0.895802,302316.000000,38429.000000
1661.163349,0.891912,289087.000000,37078.000000
1664.120611,0.886833,274074.000000,35566.000000
1668.057070,0.880814,249318.000000,32805.000000
1671.004498,0.874341,227555.000000,30391.000000
1673.947712,0.868640,203186.000000,27495.000000
1676.886711,0.862876,178338.000000,24455.000000
1679.821496,0.856798,153876.000000,21398.000000
1682.752066,0.856532,131194.000000,18255.000000
1685.678422,0.856651,111238.000000,15474.000000
1688.600564,0.856218,94301.000000,13131.000000
1691.518491,0.864067,80350.000000,10988.000000
1695.402504,0.871756,65120.000000,8749.000000
1698.310598,0.873274,55907.000000,7485.000000
1701.214477,0.885137,48643.000000,6337.000000
